Object ID,Digital ID,Title,Object Title,Alternative Title,Creator,Contributor,Summary,Note,Subject,Genre,Publisher,Date,Approximate Date,Coverage Temporal,Coverage Spatial,Language,Repository,Collection Title,Collection No.,Series,Container,Rights,Standardized Rights Statement
asm0341001000,,Orient & Pacific : Pan Am's world tours,Orient & Pacific : Pan Am's world tours,,"Pan American World Airways, Inc.",,,,,Promotional materials;,,1979; 1980,,1970-1979; 1980-1989,Asia; Pacific Area,eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 1; Folder Title: Asia (1 of 3),"The copyright and related rights status of this material is unknown. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/UND/1.0/
asm0341001000,asm03410010000001001,Page 1,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000002001,Page 2,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000003001,Page 3,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000004001,Page 4,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000005001,Page 5,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000006001,Page 6,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000007001,Page 7,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000008001,Page 8,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000009001,Page 9,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000010001,Page 10,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000011001,Page 11,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000012001,Page 12,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000013001,Page 13,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000014001,Page 14,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000015001,Page 15,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000016001,Page 16,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000017001,Page 17,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000018001,Page 18,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000019001,Page 19,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000020001,Page 20,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000021001,Page 21,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000022001,Page 22,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000023001,Page 23,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000024001,Page 24,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000025001,Page 25,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000026001,Page 26,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000027001,Page 27,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000028001,Page 28,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000029001,Page 29,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000030001,Page 30,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000031001,Page 31,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000032001,Page 32,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000033001,Page 33,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000034001,Page 34,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000035001,Page 35,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000036001,Page 36,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000037001,Page 37,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000038001,Page 38,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000039001,Page 39,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001000,asm03410010000040001,Page 40,Orient & Pacific : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,,People's Republic of China : Pan Am's world tours,People's Republic of China : Pan Am's world tours,,"Pan American World Airways, Inc.",,,,,Promotional materials;,,1979,,1970-1979,China,eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 1; Folder Title: Asia (1 of 3),"The copyright and related rights status of this material is unknown. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/UND/1.0/
asm0341001001,asm03410010010001001,Page 1,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010002001,Page 2,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010003001,Page 3,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010004001,Page 4,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010005001,Page 5,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
