Enelish—Ingles		Spantsh—Español	Phonetical Pronunciation—Spanish
Bottled water.		Agua mineral.	Ah'-gwah mee-nay-rahl'.
Room servant.		El camarero.	Ell kah-mah-ray'-roh.
Chambermaid.		La camarera.	Lah kah-mah-ray'-rah. j
Tip.		La propina.	Lah proh-pee'-nah. :
Butter.		La mantequilla.	Lah mahn tay kee'-yah. j
Note: Masculine indefinite article is			; un. A plate—un plato.
	Femenine indefinite article is		una. A chair—una silla. i
AT THE	POSTAL AND TELEGRAPH OFFICES		
EN LA OFICINA DE CORREOS Y TELEGRAFOS			
Where is the Post-Offfice?		¿Dónde está el Correo?	Dohn'-day es-tah' ell Koh- rray'-oh? j
Where is the Telegraph Office?		¿Dónde está el despacho de telégrafos?	Dohn'-day es-tah' ell dayss-pah'-choh day té-lay'-grah-fohss? !
1 wish a stamp for letter.	this	Quiero un sello (una estampilla) para esta carta.	Kee-ay'-roh oon say'-yoh (oo'-nah es-tahm-pee'-yah) pah'-rah es'-tah kahr-tah.
I wish to send this		Quiero enviar este	Kee-ay'-roh ayn-vee-ahr' es'-te pah-ket'-ay. ;
package.		paquete.	
Are there letters for	me?	¿Hay cartas para mí?	I kahr'-tahss pah'-rah mee?
My name is—		Mi nombre es—	Mee nohm'-bray ayss—
I wish to register this		Quiero certificar esta	Kee-ay'-roh sayr-tee-fee-
letter.		carta.	kahr' es'-tah kahr'-tah.
Postcard.		La tarjeta postal.	Lah tahr-hay'-tah pohss-tahl'.
Envelope.		El sobre.	Ell soh'-bray.
Pen.		La pluma.	Lah ploo'-mah.
Pencil.		El lápiz.	Ell lah'-peez.
Ink.		La tinta.	Lah teen'-tah. j
Mail box.		El buzón.	Ell boo-zohn'.
The postage.		El franqueo.	Ell frahn-kay-o.
IN	THE MARKET ★ IN THE SHOP		
EN	EL	MERCADO * EN LA	TIENDA
How much is it?		¿Cuánto vale?	Kwahn'-toh vah'-lay?
Too much.		Es demasiado.	Ayss day-mah-see-ah'-doh.
Something cheaper.		Algo más barato.	Ahl'-goh mahss bah-rah'- ; toh. j
Something better.		Algo mejor. Algo de mejor calidad.	Ahl'-goh may-hohr'. Ahí'- ¡ goh day may-hohr' kah- lee-dah'. j
How much do I owe you? Where can I buy?		¿Cuánto le debo?	Kwahn'-toh lay day'-boh?
		¿Dónde puedo comprar?	Dohn'-day pway-doh kohm- prahr'? j
Where is the market?		¿Dónde está el mercado?	Dohn'-day es-tah' ell mayr- ! kah'-doh? !
i Where is the shop?		¿Dónde está la tienda?	Dohn'-day es-tah' lah tee- en'-dah? j
I don't like it.		No me gusta. (If object is plural: No me gustan).	No may goos'-tah. (If object j is plural: No may goos' ■ tahn).
I have no change.		No tengo cambio.	No tayn'-goh kahm'-bee-oh. ¡
Do you sell?		¿Venden aquí—?	Ven'-dayn ah-kee'? !
I wish to change.		Quiero cambiar—-	Kee-ay'-roh kahm-bee-ahr'—
Where is the beauty		¿Dónde está el salón de	Dohn'-day es-tah' ell salón
parlor?		belleza?	day bay-yay'-zah?
			75
