English—Ingles
Where is the barber shop?
I want to be shaved.
I want my hair cut.
I want my shoes shined.
Spanish—Español
¿Dónde está la barbería? (la peluquería?
Quisiera que me afeitara.
Quisiera que me cortara el pelo.
Quisiera que me lustrara los zapatos.
Phonetical Pronunciation—Spanish
Dohn'-day es-tah' lah bahr-bay-ree'-ah? (lah pay-loo-kay-ree'-ah)? Kee-see-ay'-rah kay may ah-fay-tah'-rah. Kee-see-ay'-rah kay may kohr-tah'-rah ell pay'-loh. Kee-see-ay'-rah kay may loos-trah'-rah lohss zah-pah'-tohss.
MONTHS * MESES
January.	Enero.	Ay-nay'-roh.
February.	Febrero.	Feb-ray'-roh.
March.	Marzo.	Mahr'-zoh.
April	Abril.	Ah-breel'.
May.	Mayo.	My'-oh.
June.	Junio.	Hoo'-nee-oh.
July.	Julio.	Hoo'-lee-oh.
August.	Agosto.	Ah-gohss'-toh.
September.	Septiembre.	Sep-tee-ém'-bray.
October.	Octubre.	Oc-too’-bray.
November.	Noviembre.	Noh-vee-ém'-bray.
December.	Diciembre.	Dee-see-ém'-bray.
	DAYS OF WEEK ★ DIAS DE LA SEMANA	
Monday.	Lunes.	Loo'-nayss.
Tuesday.	Martes.	Mahr'-tayss.
Wednesday.	Miércoles.	Mee-ayr'-koh-layss.
Thursday.	Jueves.	Hoo-ay'-vayss.
Friday.	Viernes.	V ee-ayr'-nayss.
Saturday.	Sábado.	Sah'-bah-doh.
Sunday.	Domingo.	Doh-meen'-goh.
	NUMBERS ★	NUMEROS
One.	Uno, un, una.	Oo'-noh, oon, oo'-nah.
Two.	Dos.	Dohss.
Three.	Tres.	Trayss.
Four.	Cuatro.	Kwah'-troh.
Five.	Cinco.	Seen'-koh.
Six.	Seis.	Say'-ss.
Seven.	Siete.	See-ay'-tay.
Eight.	Ocho.	Oh'-choh.
Nine.	Nueve.	Noo-ay'-vay.
Ten.	Diez.	Dee-ess'.
Eleven.	Once.	Ohn'- say.
Twelve.	Doce.	Doh'-say.
76
