CURRENCY CHART
From lire into dollars at a glance:
	($	1 equals 625		lire)	
LIRE	$U.S.	LIRE	$U.S.	LIRE	$u.s.
1	0.0016	1,300	2.08	4,750	7.60
5	0.0080	1,400	2.24	5,000	8.00
10	0.016	1.500	4.40	5,250	8.40
20	0.032	1,600	2.56	5,500	8.80
30	0.048	1,700	2.72	5,750	9.20
40	0.064	1,800	2.88	6,000	9.60
50	0.080	1,900	3.04	6,500	10.40
75	0.12	2,000	3.20	7,000	11.20
100	0.16	2,100	3.36	7,500	12.00
150	0.24	2,200	3.52	10,000	16.00
200	0.32	2,300	3.68	12,500	20.00
250	0.40	2,400	3.84	15,000	24.00
300	0.48	2,500	4.00	17,500	28.00
350	0.56	2,600	4.16	20,000	32.00
400	0.64	2,700	4.32	22,500	36.00
500	0.80	2,800	4.48	25,000	40.00
600	0.96	2,900	4.64	27,500	44.00
625	1.00	3,000	4.80	30,000	48.00
700	1.12	3,250	5.20	35,000	56.00
800	1.28	3,500	5.60	40,000	64.00
900	1.44	3,750	6.00	45,000	72.00
1,000	1.60	4,000	6.40	50,000	80.00
1,100	1.76	4,250	6.80	75,000	120.00
1,200	1.92	4,500	7.20	100,000	160.00
PAN AMERICAN OFFICES IN ITALY
ROME - VIA l. BISSOLATI, 46 - TEL. 470.181 - 474.841 MILAN • PIAZZA S. BABILA, 4/b - TEL. 794.222 - 794.444 FLORENCE - VIA TORNABUONI, 2 - TEL. 298.466
