EVERYDAY EXPRESSIONS
EXPRESIONES DE USO FRECUENTE
English—lngl£s	Spanish—Español	Phonetical Pronunciation—Spanish	Pronunciación fonética-lnalés
Wait here, please.	Sírvase esperar aquí.	Seer-vah-seh ehs-peh-rahr ah-koy.	Ueit ¡ir, plis.
Give me this one.	Déme éste (mase.), ésta (fem.).	Deh-meh ehs-teh (mase.), ehs-tah (fem.).	Guiv me dis uan.
At what time?	¿A qué hora?	Ah keh oh-rah?	At ju-at taim?
1 cannot.	No puedo.	Noh poo-eh-doh.	Ai can-not.
Earlier.	Más temprano.	Mahs tehm-prah-noh.	Er-lier.
Sooner.	Más pronto.	Mahs prohn-toh.	Su-ner.
Later.	Más tarde.	Mahs tahr-deh.	Lei-ter.
Now.	Ahora.	Ah-oh-rah.	Nao.
Today.	Hoy.	Oy.	Tu-dei.
Tomorrow.	Mañana.	Mahn-yah-nah.	Tu-ma-ro.
, g This week. 1 o . _ ......	Esta semana.	Ehs-tah seh-mah-nah.	Dis uik.
