SIZE (Pan Am Only)
Operating Revenue (All Services)	$2,484,709,000 in 1979
Revenue Passenger Miles	25,082,000,000 in 1979
Available Seat Miles	38,939,000,000 in 1979
Passengers	10,042,000 in 1979
Cargo	3,754,000,000 revenue ton miles in 1979
SERVICE Total Unduplicated Route Mileage	100,000
Average Daily Departures, Scheduled and Charter	499
Average Revenue Aircraft Miles Per Day, Scheduled and Charter	594,014
Cities Served	76
Continents Served	6, North and South America, Europe, Asia, Africa, Australia
Lands Served	40
NEWEST SERVICE	Daily Service from New York to New Orleans - August 1, 1980
-10-
