SIZE
Operating Revenue (All Services)	$3,550,400,000 in 1980
Revenue Passenger Miles	31,296,000,000 in 1980
Available Seat Miles	51,446,000,000 in 1980
Cargo	4,326,000,000 revenue ton miles in 1980
SERVICE Total Unduplicated Route Mileage	100,000
Average Daily Departures, Scheduled and Charter	499
Average Revenue Aircraft Miles Per Day, Scheduled and Charter	594,014
Cities Served	76
Continents Served	6, North and South America, Europe, Asia, Africa, Australia
Lands Served	40
NEWEST SERVICE?:	Regular scheduled service - New York to Beijing. China January 28, 1981
-10-
