CITIES SERVED BY PAN AM
	First Scheduled Service
Abidjan, Ivory Coast	May 17, 1965 (Pan Am)
Accra, Ghana	March 7, 1947 (Pan Am)
Auckland, New Zealand	July 18, 1940 (Pan Am)
Bahrain, State of Bahrain	December 7, 1976 (Pan Am)
Bangkok, Thailand	June 30, 1947 (Pan Am)
Beijing, China	May 9, 1937 (via CNAC from Hong Kong)
Berlin, West Germany	May 18, 1946 (AOA)
Bombay, India	July 11, 1978 (Pan Am)
^Brussels, Belgium	June 16, 1946 (Pan Am)
Buenos Aires, Argentina	October 8, 1929 (Panagra)
Caracas, Venezuela .	December 4, 1930 (Pan Am)
Charleston, South Carolina	July 1, 1945 (National)
^Chicago, Illinois	April 30, 1954 (Pan Am)
Dakar, Senegal	October 16, 1943 (Pan Am)
Delhi, India	March 16, 1948 (Pan Am)
Detroit, Michigan	April 30, 1954 (Pan Am)
Dhahran, Saudi Arabia	February 3, 1979 (Pan Am)
*Dubai, United Arab Emirates	April 7, 1980 (Pan Am)
Fort Lauderdale, Florida	October 19, 1959 (National)
Fort Myers, Florida	July 16, 1937 (National)
Frankfurt, West Germany	December 23, 1946 (Pan Am)
-12-
