SCHEDULE
	NOV.	DEC.	JAN.	FEB.	MAR.
	12/15	3/6	14/17	4/7	4/7
AMSTERDAM	19/22	10/13	21/24	11/14	11/14
	26/29		28/31	18/21	18/21
				25/28	25/28
	5/8	3/6	14/17	4/7	4/7
BRUSSELS	12/15	10/13	21/24	11/14	11/14
	19/22		28/31	18/21	18/21
	26/29			25/28	25/28
	6/10	4/8	15/19	5/9	5/9
	13/17	11/15	22/26	12/16	12/16
COPENHAGEN			29/02	19/23	19/23
	27/01		FEB.	26/02	26/30
	DEC.			MAR.	
	13/16	4/7	15/18	5/8	5/8
	20/23		22/25	12/15	12/15
DUBLIN	27/30		29/01	19/22	19/22
			FEB.	26/01 MAR.	26/29
	5/8	3/6		4/7	4/7
FRANKFURT	12/15	10/13	21/24	11/14	11/14
	26/29		28/31	18/21	18/21
	5/8	3/6	14/17	4/7	4/7
LONDON	12/15	10/13	21/24	11/14	11/14
	19/22		28/31	18/21	18/21
	26/29			25/28	25/28
	5/8	3/6	14/17	4/7	4/7
PARIS	12/15	10/13	21/24		11/14
	19/22		28/31		Cl8/21
	26/29			25728	Ï25/2&
	5/8	3/6	14/17	4/7	4/1
ROME	12/15	10/13	21/24	11/14	11/14
	19/22		28/31	18/21	18/21
	26/29			25/28	25/28
VIENNA	26/29		21/24	18/21	
Note: No refund for noshows.
A $10.00 cancellation fee will be charged if you cancel 14 days or less prior to departure.
