English—Ingles	Spanish—Español	Phonetical Pronunciation—Spanish	Pronunciación fonética—Ingles
At what airport do we stop next?	¿En qué aeropuerto haremos la próxima parada?	Ayn kay ah-ay-roh-poo-ayr'-toh ah-ray'-mohss lah prox'-ee-mah pah-rah'-dah?	At juát eir'-port du ui stap necst?
How long will we remain here?	¿Cuánto tiempo pareceremos aquí?	Kwahn'-toh tee-em'-poh pah-ray-say-ray'-mohss ah-kee'?	Jáu long uj'1 ui ri-mein' jir?
Pillow.	Una (la) almohada.	Oo'-nah (lah) ahl-moh-ah'-dah.	Pr'-lo.
Blanket.	Una (la) manta (frazada).	Oo'-nah (lan) mahn'-tah (frah-sah'-dah).	Blan'-quet.
Hat.	Un (el) sombrero.	Oon (ell) sohm-hray'-roh.	Jat.
			Cot. (Ea'-quet)..
			
Overcoat.	El abrigo.	Ell ah-bree'-goh.	O'-ver-cot.
Cigarette.	Un (el) cigarrillo.	Oon (el) see-gah'-ree'-yoh.	Si-ga-ret.
Pack of cards.	Una (la) baraja de naipes.	Oo'-nah (lah) bah-rah'-hah day ni'-pays.	Pac uv cards.
