English- Ingles	Spanish—Español	Phonetical Pronunciation—Spanish	Pronunciación fonética—Ingles
How much is it?	¿Cuánto vale?	Kwahn'-toh vah'-lay?	Jáu mutch is it?
Too much.	Es demasiado.	Avss dav-mah-see-ah'-doh.	Tu mutch.
Something cheaper.	Algo más barato.	Ahl'-goh mahss bah-rah'-toh.	Sem'-dmg tchi'-per.
Something better.	Algo mejor. Algo de mejo calidad.	Ahl'-goh may-hohr'. Ahl'-goh dav mav-hohr' kah-lee-dah'.	Sem'-dmg bet'-ter.
How much do I owe you?	¿Cuánto le debo?	Kwahn'-toh lay day'-boh?	Jáu mutch du ai ó iú?
Where can I buy?	¿Dónde puedo comprar?	Dohn'-day pway'-doh kohm-prahr'?	Juér can ai bai?
Where is the market?	¿Dónde está el mercado?	Dohn'-day es-tah' ell mayr-kah'-doh?	Juér is di mar'-quet?
Where is the shop?	¿Dónde está la tienda?	Dohn'-day es-tah' lah tee-en'-dah?	Juér js di schap?
I don’t like it.	No me gusta. (If object is plural: No me gustan.)	No may goos'-tah. (If object is plural: No may goos'-tahn.)	Ai dont laic it.
11
