English—Ingles	Spanish—Español	Phonetical Pronunciation—Spanish	Pronunciación fonética—Inelés
More slowly, please.	Más despacio, por favor.	Mahss dayss-pah'-see-oh, pohr fah-vohr'.	Mor sló-li, plis.
Pardon me.	Dispénseme. Perdóneme.	Deess-pen'-say-may. Payr-doh'-nay-may.	Par'-dn mi.
I don’t know.	No sé.	No say.	Ai dont nó.
Do you know?	¿Sabe usted?	Sah'-bay oos-te'?	Du iú nó?
See you later.	Hasta luego. Hasta la vista.	Ahss'-tah loo-ay'-goh. Ahss'-tah lah vees'-tah.	Si iú lei'-ter.
Goodbye.	Adiós.	A-dee-ohss'.	Gud-bai'.
	Venga aquí, por favor.	Vayn'-gah ah-kee' pohr fah vohr'.	
Come here, please.	Tenga la bondad de venir aquí.	Tayn'-gah lah bohn-dah' day ve-neer' ah-kee'.	Cum jir, plis.
It doesn’t matter.	No importa.	No eem-pohr'-tah.	7t desnt mat'-ter.
17
