English—Ingles	Spanish—-Español	Phonetinal Pronunciation—Spanish	Pronunciación fonética—Ingles
Wait here, please.	Espere aquí, por favor.	Es-pay'-ray ah-kee' pohr fah-vohr'.	Ueit jir, plis.
Give me this one.	Déme éste (mase.) ésta (fem.).	Day'-may es'-tay (mase.) es'-tah (fem.).	G/v mi dis uen.
At what time?	¿A qué hora?	Ah kay oh'-rah?	At juát taim?
I cannot.	No puedo.	No pway'-doh.	Ai can-net.
Earlier.	Más temprano.	Mahss tem-prah'-noh.	Er'-li-er.
Sooner	Más pronto.	Mahss prohn'toh.	Su'-ner.
Later.	Más tarde.	Mahss tahr'-day.	Lei'-ter.
Now.	Ahora.	Ah-oh'-rah.	Náu.
Today.	Hoy.	Oy.	Tu-dei'.
Tomorrow.	Mañana.	Mah-nyah'-nah.	Tu-má-ro.
This weerc.	Esta semana.	Es'-tah say-mah'-nah.	Dis ule.
18
