Prepaid Bargain Car Rental Rates
Rates Valid April 1st 1978 to March 31st 1979
See page 2 for full details
France
Unlimited Free Mileage
Grp.	Type Car (Or Similar)	One Week	Extra Day	Two Weeks	Extra Day	Three Weeks	Extra Day
A	Peugeot 104 Ford Fiesta Renault 5	$175.00	25.00	350.00	25.00	525.00	25.00
B	Renault 14	$222.00	31.70	444.00	31.70	666.00	31.70
C	Peugeot 305	$275.00	39.25	550.00	39.25	825.00	39.25
D	Renault 20	$350.00	50.00	700.00	50.00	1,050.00	50.00
E	VW Bus Peugeot 504 S/W	$370.00	52.85	740.00	52.85	1,110.00	52.85
F	‘Peugeot 604 ‘Renault 30	$410.00	58.50	820.00	58.50	1,230.00	58.50
	‘Automatic Transmission						
	17.6% Government Tax included in rate. Security Deposit: $125.00 if CDW not taken.						
	Germany						
			Unlimited Free Mileage				
Grp.	Type Car (Or Similar)	One Week	Extra Day	Two Weeks	Extra Day	Three Weeks	Extra Day
A	Ford Fiesta	$118.00	16.85	236.00	16.85	354.00	16.85
B	VW Rabbit Ford Escort Opel Kadett	$157.00	22.40	306.00	21.85	446.00	21.25
C	‘Opel Kadett Opel Ascona	$195.00	27.85	384.00	27.40	558.00	26.50
D	Opel Rekord ‘Opel Ascona Opel Kadett S/W	$226.00	32.25	435.00	31.00	650.00	30.90
E	‘Opel Rekord Opel Rekord S/W	$277.00	39.50	546.00	39.00	810.00	38.50
F	VW Bus Mercedes 200/230	$300.00	42.85	595.00	42.50	885.00	42.15
G	‘Mercedes 200 ‘BMW 520	$324.00	46.25	635.00	45.35	950.00	45.20
H	‘Mercedes 280	$430.00	61.40	855.00	61.00	1,270.00	60.45
'Automatic Transmission
12% Government Tax to be paid In Germany. Security Deposit: $70.00.
