Economy Group Fares (per person)
TRANSATLANTIC ROUND TRIP GROUP FARES (in u.s. Dollars)
Between NEW YORK And	Group Fare $	Between NEW YORK And	Group Fare $
AALBORG	362.00	CHERBOURG	331.00
AARHUS	362.00	COLOGNE	362.00
ABADAN	736.00	CONAKRY	539.00
ABERDEEN	303.00	COPENHAGEN	362.00
ABIDJAN	559.00	DAKAR	470.00
ACCRA	559.00	DAMASCUS	587.00
ADANA	523.00	DELHI	851.30
ADDIS ABABA	784.00	DHAHRAN	752.00
ADEN	784.00	DJIBOUTI	809.00
ALEXANDRIA	577,00	DORTMUND	362.00
ALGIERS	395.00	DOULA	673.00
AMMAN	587.00	DUBLIN	295.00
AMSTERDAM	339.00	DUISBURG	362.00
ANKARA	511.00	DURBAN	883.00
ANTWERP	343.00	DÜSSELDORF	362.00
ASMARA	768.00	EDINBURGH	298.00
ATHENS	491.00	ELIZABETHVILLE	834.00
BAGHDAD	683.00	ENTEBBE	806.00
BAHREIN	752.00	FLORENCE	391.00
BANGUI	673.00	FT. LAMY	673.00
BARCELONA	354.00	FRANKFURT	362.00
BASLE	362.00	FREETOWN	540.00
BASRA	715.00	GENEVA	362.00
BEIRUT	587.00	GIBRALTAR	357.00
BELFAST	300.00	GLASGOW	296.00
BELGRADE	431.00	GOTHENBURG	362.00
BERGEN	362.00	HAMBURG	362.00
BERLIN	381.00	HANOVER	362.00
BIRMINGHAM	310.00	HELSINKI	424.00
BLACKPOOL	305.00	INNSBRUCK	374.00
BONN	362.00	ISLE OF MAN	306.00
BORDEAUX	339.00	ISTANBUL	507.00
BRAZZAVILLE	673.00	IZMIR	511.00
BREMEN	362.00	JEDDAH	694.00
BRISTOL	305.00	JERSEY	327.00
BRUSSELS	339.00	JERUSALEM	587.00
BUCHAREST	462.00	JOHANNESBURG	834.00
BUDAPEST	416.00	JOS	602.00
BULAWAYO	834.00	JUBA	806.00
CAIRO	587.00	KADUNA	594.00
CALCUTTA	903.80	KANO	559.00
CAPETOWN	945.00	KARACHI	835.40
CARDIFF	305.00	KEFLAVIK	244.00
CASABLANCA	358.00	KHARTOUM	731.00
CATANIA	402.00	KRISTI ANSAND	362.00
Between NEW YORK And	Group Fare $	Between NEW YORK And	Group Fare $
KUWAIT	736.00	PALERMO	402.00
LAGOS	577.00	PALMA MAJORCA	357.00
LEEDS	308.00	PARIS	339.00
LENINGRAD	478.00	PRAGUE	391.00
LEOPOLDVILLE	673.00	RABAT	353.80
LISBON	310.00	RENNES	339.00
LIVERPOOL	306.00	REUNION IS.	1093.00
LIVINGSTONE	834.00	ROME	402.00
LONDON	310.00	ROTTERDAM	339.00
LOURDES	354.00	SALISBURY	834.00
LOURENCO MARQUES 881.00		SALZBURG	374.00
LUXEMBOURG	348.00	SANTA MARIA	257.00
MADRID	339.00	SHANNON	285.00
MALMO	365.00	SOFIA	462.00
MALTA	410.00	STAVANGER	362.00
MANCHESTER	305.00	STOCKHOLM	397.00
MARSEILLES	377.00	STUTTGART	362.00
MAURITIUS IS.	1104.00	TANANARIVE	1015.00
MILAN	377.00	TANGIER	345.00
MOGADISHU	834.00	TEHERAN	736.00
MONROVIA	540.00	TEL AVIV YAFO	587.00*
MOSCOW	519.00	TRIESTE	397.00
MUNICH	367.00	TRIPOLI	434.00
NAIROBI	832.00	TUNIS	402.00
NAPLES	402.00	TURIft	377.00
N’DOLA	834.00	VENICE	391.00
NEWCASTLE	308.00	VIENNA	391.00
NICE	377.00	WARSAW	432.00
NICOSIA	523.00	ZAGREB	404.00
NUREMBERG	367.00	ZURICH	362.00
OSLO	362.00		
Note: In order to obtain Group Fares between Montreal or Boston and points in Europe, Africa, Middle East, deduct the following amounts from the fares published above:
Boston, U.S.A.: to or from points in Europe, Africa, Middle East, except Portugal, Spain, Gibraltar and Palma, deduct $7.00; to or from Portugal, Spain, Gibraltar and Palma, deduct $0.00 (i.e. apply New York fares). Montreal, Canada: to or from points in Europe, Africa, Middle East, except Portugal, Spain, Gibraltar and Palma, deduct $21.00; to or from Portugal, Spain, Gibraltar and Palma, deduct $0.00 (i.e. apply New York fares).
Between
Belfast/Birmingham/Edinburgh/	Jet Group Fare Propeller Group Fare
Glasgow/London/Manchester	$	$
And
KINGSTON/MONTEGO BAY	472.00	446.00
See Page 21 for special Tel Aviv Group Fare for 40 or more persons. All Fares subject to change.
