Economy Group Fares (continued)
SOUTH PACIFIC ROUND TRIP GROUP FARES		
	(In U.S. Dollars)	Los Angeles/Portland/
Between/And	Honolulu	San Francisco/Seattle
	$	$
AUCKLAND	549.30	690.30
NANDI, FIJI	441.60	583.90
SYDNEY	601.20	744.80
NORTH/CENTRAL PACIFIC FARES
(In U.S. Dollars)
One Way Economy let
Los Angeles/San Francisco/
Between/And	Honolulu	Portland/Seattle/Vancouver
$ $
HONG KONG MANILA TAIPEI OKINAWA TOKYO SEOUL	301.00 287.00 287.00 287.00 242.00		350.00 343.00 343.00 343.00 305.00 319.00
	Round Trip Economy let		
DJAKARTA	650.00		762.00
PALEMBANG	650.00		762.00
SINGAPORE	612.00		705.00
BANGKOK	612.00		705.00
SAIGON	567.00		696.00
HONG KONG	548.00		637.00
MANILA	522.00		624.00
TAIPEI	522.00		624.00
OKINAWA	522.00		624.00
TOKYO	440.00		555.00
SEOUL	—		580.00
GUAM	376.00		497.00
WAKE	300.00		427.00
To obtain Economy Propeller fares, deduct the following amounts from the above Jet fares round trip $25.00. To West Coast, one way $21.00; round trip $39.00.			to Honolulu, one way $14.00;
WESTERN HEMISPHERE ROUND (ln U.S. Dollars)		TRIP GROUP FARES	
Between	And	JET $	PROPELLER $
ANTIGUA	NEW YORK	182.00	165.00
BARBADOS	NEW YORK	217.00	189.00
BARRANQUILLA	MIAMI	-	120.00
BERMUDA	NEW YORK	84.00	74.00
BOGOTA	MIAMI	173.00	153.00
	NEW YORK	275.00	—
DALLAS	KINGSTON	208.00	192.00
	MONTEGO BAY	208.00	192.00
FORT DE FRANCE	NEW YORK	210.00	190.00
KINGSTON	LOS ANGELES	317.00	293.00
	MIAMI	68.00	58.00
	NEW ORLEANS	156.00	147.00
	NEW YORK	170.00	154.00
	SAN FRANCISCO	342.00	310.00
LOS ANGELES	MONTEGO BAY	317.00	293.00
MIAMI	MONTEGO BAY	68.00	58.00
	NASSAU	30.00	26.00
	PORT AU PRINCE	96.00	86.00
	SANTO DOMINGO	98.00	88.00
MONTEGO BAY	NEW ORLEANS	156.00	147.00
	NEW YORK	170.00	154.00
	SAN FRANCISCO	342.00	310.00
NASSAU	NEW YORK	118.00	108.00
NEW YORK	POINTE A PITRE	197.00	177.00
	PORT AU PRINCE	170.00	154.00
	*PORT OF SPAIN	242.00	222.00
	SANTO DOMINGO	149.00	134.00
*No Routings Via Curacao and/or Caracas. All Fares subject to change.
